"","main","print_headline","web_url","snippet","lead_paragraph","abstract","pub_date"
"53","Trump Hands China an Easy Win in the Trade War",NA,"https://www.nytimes.com/2019/05/29/opinion/trump-china-trade-war.html","The president’s tough rhetoric plays into Chinese economic nationalism.","When President Trump tweeted on May 5 that the China trade deal was off, the historical echoes in Beijing were loud and clear.  Almost exactly 100 years earlier, China’s “May Fourth Movement” of 1919 was a direct response to the actions of President Woodrow Wilson at the end of World War I. Wilson had promised China, an American ally, that German colonies in Shandong would be returned to Chinese sovereignty, but instead handed them to Japan. China exploded with anti-American, nationalist sentiment. One of the eventual consequences was the establishment of the Chinese Communist Party, which for the last 70 years has ruled the country.","The president’s tough rhetoric plays into Chinese economic nationalism.","2019-05-29T10:00:04+0000"
"54","As Trade War Rages, China’s Sway Over the U.S. Fades","Trade War Undercuts China’s Sway In the U.S.","https://www.nytimes.com/2019/05/17/business/china-trade-influence.html","Beijing once could count on allies in business and politics to help get its way. Now many of its old allies are staying on the sidelines.","China usually gets its way. In Washington, on Wall Street and in corporate boardrooms, Beijing has used the country’s size and promise for decades to quell opposition and reward those who helped its rise.","Beijing once could count on allies in business and politics to help get its way. Now many of its old allies are staying on the sidelines.","2019-05-17T09:00:18+0000"
"55","U.S. Ports Brace Themselves for the Turbulence of a Trade War",NA,"https://www.nytimes.com/paidpost/china-daily/us-ports-brace-themselves-for-the-turbulence-of-a-trade-war.html","Fears voiced over blue-collar jobs. ","Some seaports on the West Coast of the United States are bracing to bear the brunt of the U.S.-China trade war.","Fears voiced over blue-collar jobs. ","2019-06-04T11:30:22+0000"
"56","Economic Trouble Signs Hang Over Trump’s Trade War","Trade Warrior On Risky Path For Economy","https://www.nytimes.com/2019/08/15/business/economy/trump-economy.html","White House advisers discount warnings of a possible recession. But the president may be gambling that the Federal Reserve can ward off that prospect.","WASHINGTON — Against the backdrop of mounting evidence that the global economy is weakening, President Trump is caught between his desire to pursue the trade war with China he promised to win and his need to keep the economy humming as the 2020 election approaches.","White House advisers discount warnings of a possible recession. But the president may be gambling that the Federal Reserve can ward off that prospect.","2019-08-16T00:08:06+0000"
"57","Stocks Whipsaw as Traders Face Conflicting Trade War Signals","Mixed Signals on Trade Whipsaw Markets","https://www.nytimes.com/2019/08/15/business/stock-market-today.html","Beijing first vowed to retaliate against new tariffs, even after Trump postponed some of them, but then appeared to soften its stance.","Stocks swerved up and down on Thursday before ending with a modest gain after China sent conflicting signals about how it would respond to President Trump’s threats of new tariffs and investors took some solace in upbeat economic and earnings data.","Beijing first vowed to retaliate against new tariffs, even after Trump postponed some of them, but then appeared to soften its stance.","2019-08-15T08:05:33+0000"
"58","As Trump Swerves on Trade War, It’s Whiplash for the Rest of the World","Global Whiplash as Trump Seesaws on Trade","https://www.nytimes.com/2019/08/26/world/asia/trump-g7-meeting.html","At the Group of 7 meeting in France, President Trump changed his approach to the trade war with China time and again, leaving much of the world off balance. “It’s the way I negotiate,” he said.","BIARRITZ, France — Remember when President Xi Jinping of China was the “enemy”? That was so Friday. As of Monday, according to President Trump, Mr. Xi was “a great leader” and a “brilliant man.”","At the Group of 7 meeting in France, President Trump changed his approach to the trade war with China time and again, leaving much of the world off balance. “It’s the way I negotiate,” he said.","2019-08-26T23:04:39+0000"
"59","Mnuchin Presses Companies for Trade War Contingency Plans","Mnuchin Presses Retailers On Plans Amid Trade War","https://www.nytimes.com/2019/05/22/us/politics/irs-trump-tax-returns.html","The Treasury secretary spoke to the chief financial officer of Walmart about steering its supply chain away from China.","WASHINGTON — Treasury Secretary Steven Mnuchin said on Wednesday that he was personally questioning some of America’s largest companies about their plans for weathering the Trump administration’s trade war with China, including encouraging firms to reorient their supply chains and source their products elsewhere.","The Treasury secretary spoke to the chief financial officer of Walmart about steering its supply chain away from China.","2019-05-22T13:59:14+0000"
"60","Global Economic Trouble Is Brewing, and the Trade War Is Only Part of It","Are Tariffs To Blame? It’s Bigger Than That","https://www.nytimes.com/2019/08/14/upshot/global-economic-trouble-is-brewing-and-the-trade-war-is-only-part-of-it.html","A clear signal from the bond market that investors are pessimistic about the economy’s longer-term prospects.","In a span of less than 24 hours, developments in Washington and Wall Street have sent a vivid message: The world is ambling toward an economic morass of the sort that no mere presidential tweet can fix.","A clear signal from the bond market that investors are pessimistic about the economy’s longer-term prospects.","2019-08-14T15:09:37+0000"
"61","China Faces New ‘Long March’ as Trade War Intensifies, Xi Jinping Says","Xi Rallies His People As Trade War Intensifies","https://www.nytimes.com/2019/05/21/world/asia/xi-jinping-china-trade.html","The Chinese leader invoked a time of hardship before success in Communist Party history, at a time when the economy and consumers face other challenges.","BEIJING — President Xi Jinping of China has called for the Chinese people to begin a modern “long march,” invoking a time of hardship from the country’s history as it braces for a protracted trade war with the United States.","The Chinese leader invoked a time of hardship before success in Communist Party history, at a time when the economy and consumers face other challenges.","2019-05-22T03:13:42+0000"
"62","DealBook Briefing: A U.S.-Europe Trade War Looms",NA,"https://www.nytimes.com/2019/05/30/business/dealbook/us-europe-trade.html","The focus has been on China, but Europe may soon find itself in a fight with President Trump on tariffs.","Good Thursday. (Want this by email? Sign up here.)","The focus has been on China, but Europe may soon find itself in a fight with President Trump on tariffs.","2019-05-30T10:44:31+0000"
"63","Chinese Tourists’ U.S. Spending Has Plunged. The Trade War May Be to Blame.","As Trade War With U.S. Grinds On, Chinese Tourists Stay Away","https://www.nytimes.com/2019/06/12/business/trade-war-us-china-tourism.html","The number of Chinese tourists is falling. And that’s especially painful to businesses they favor, because they tend to spend more than other visitors.","A new battlefront has opened in the trade war between the United States and China: the $1.6 trillion American travel industry.","The number of Chinese tourists is falling. And that’s especially painful to businesses they favor, because they tend to spend more than other visitors.","2019-06-12T07:00:09+0000"
"64","Alibaba Reports Slower Growth as U.S.-China Trade War Intensifies","Alibaba’s Fortunes Dim in Shadow of Trade War","https://www.nytimes.com/2019/05/15/technology/alibaba-earnings.html","The e-commerce firm became a giant by catering to China’s emerging middle class. But these are anxious times for Chinese consumers and businesses.","One of the world’s leading internet giants appears to be feeling the effects of China’s economic slowdown and the  trade war with the United States.","The e-commerce firm became a giant by catering to China’s emerging middle class. But these are anxious times for Chinese consumers and businesses.","2019-05-15T12:07:12+0000"
"65","Trump Offers Contradictory Signals on China Trade War","Trump’s Threats Of Tariffs Worry Summit Leaders","https://www.nytimes.com/2019/08/25/world/europe/trump-offers-contradictory-signals-on-china-trade-war.html","After initially said that he was having “second thoughts” about a new levies on Chinese goods, Mr. Trump said he only regretted not raising tariffs faster.","BIARRITZ, France — President Trump offered deeply contradictory signals about his trade war with China on Sunday, ending the day by escalating his threats of higher tariffs even as he remained isolated from fellow world leaders on a strategy that has rattled the global economy.","After initially said that he was having “second thoughts” about a new levies on Chinese goods, Mr. Trump said he only regretted not raising tariffs faster.","2019-08-25T21:10:57+0000"
"66","Trade War, Andrew Luck, U.S. Open: Your Monday Briefing",NA,"https://www.nytimes.com/2019/08/26/briefing/trade-war-andrew-luck-us-open.html","Here’s what you need to know.","(Want to get this briefing by email? Here’s the sign-up.)","Here’s what you need to know.","2019-08-26T09:43:40+0000"
"67","M.B.Z., Trade Wars, Trump: Your Monday Briefing",NA,"https://www.nytimes.com/2019/06/02/briefing/mbz-trade-wars-trump.html","Let us help you start your day.","(Want to get this briefing by email? Here’s the sign-up.)","Let us help you start your day.","2019-06-02T20:42:49+0000"
"68","Floods and Trump’s Trade War Create an Uncertain Year for Farmers","Floods and Trade War Create Uncertain Year for Farmers (and Food Prices)","https://www.nytimes.com/2019/05/31/climate/farmers-flooding-food-prices.html","Prices are rising and planting is far behind schedule as farmers face a complex new calculus about what to plant—or whether to plant at all.","Corn prices are rising as surging floodwaters and soaking rains — combined with President Trump’s trade war with China — are making it an exceptionally difficult year for farmers facing risky choices about what crops to plant, or whether to plant at all.","Prices are rising and planting is far behind schedule as farmers face a complex new calculus about what to plant—or whether to plant at all.","2019-05-31T21:18:22+0000"
"69","China’s Propaganda Machine Takes Aim at U.S. Over Trade War","China’s Propaganda Adds Its Take on Trade War","https://www.nytimes.com/2019/05/14/world/asia/china-propaganda-trade.html","Nationalism has surged as commentators attack “Giant Baby Trump” and vow to resist American demands.","BEIJING — The trade dispute between the United States and China is escalating — and so is the war of words between the two countries. ","Nationalism has surged as commentators attack “Giant Baby Trump” and vow to resist American demands.","2019-05-14T15:23:36+0000"
"70","On Politics: The Trade War Is Here to Stay","Morning Edition","https://www.nytimes.com/2019/05/24/us/politics/on-politics-trump-trade-war.html","The Trump administration announced an aid package for farmers to mollify an important political constituency hurt by the escalating trade clash with China.","Good Friday morning. Here are some of the stories making news in Washington and politics today.","The Trump administration announced an aid package for farmers to mollify an important political constituency hurt by the escalating trade clash with China.","2019-05-24T04:14:03+0000"
"71","Stocks on Wall St. Rebound From Trade War-Driven Drop","Market Surges, Shaking Off Trade Worries","https://www.nytimes.com/2019/08/13/business/global-markets.html","Protest-stricken Hong Kong led losses in Asia, but Europe opened only mildly lower and U.S. stocks moderated as well.","Stocks rose after the White House delayed imposing tariffs on some consumer and electronic goods imported from China that were set to go into effect on Sept. 1.","Protest-stricken Hong Kong led losses in Asia, but Europe opened only mildly lower and U.S. stocks moderated as well.","2019-08-13T08:14:45+0000"
"72","For Both Trump and Xi, Trade Deal Comes Amid Growing Pressures at Home","Trump and Xi, Facing Pressure at Home, Seek an ‘Off-Ramp’ to Costly Trade War","https://www.nytimes.com/2019/10/12/us/politics/trump-trade-deal-china.html","President Trump and his Chinese counterpart, Xi Jinping, agreed to a compromise on trade in recent days as they feel political pressures at home and face weakening economies.","BEIJING — The interim trade pact announced Friday between the United States and China came together as both countries’ leaders faced mounting political pressures and rising economic worries at home.","President Trump and his Chinese counterpart, Xi Jinping, agreed to a compromise on trade in recent days as they feel political pressures at home and face weakening economies.","2019-10-12T19:42:04+0000"
"73","Swine Fever? Trade War? China Turns to Strategic Pork Reserve","Stockpiling Hogs for a Rainy Day","https://www.nytimes.com/2019/10/07/business/china-strategic-pork-reserve.html","The tariff fight has added to Chinese shoppers’ grocery bills. How is the government coping? By tapping its gigantic stockpile of emergency meat.","BEIJING — When supplies of China’s favorite meat run low, Beijing calls upon its strategic pork reserve, a name that brings to mind vast piles of sausages, bacon and spareribs housed in secret underground vaults across the country. ","The tariff fight has added to Chinese shoppers’ grocery bills. How is the government coping? By tapping its gigantic stockpile of emergency meat.","2019-10-08T00:53:11+0000"
"74","How Goes the Trade War?",NA,"https://www.nytimes.com/2019/03/03/opinion/how-goes-the-trade-war.html","Consumers, not foreigners, are paying the Trump tariffs.","Say this for Donald Trump: He’s provided us with many iconic quotations, which will surely be repeated in histories and textbooks for decades if not generations to come. Unfortunately, they’ll be repeated because they are extremely clear examples of bad ideas.","Consumers, not foreigners, are paying the Trump tariffs.","2019-03-03T16:55:22+0000"
"75","DealBook Briefing: Could the Trade War Spread to Wall Street?",NA,"https://www.nytimes.com/2019/05/29/business/dealbook/trade-war-wall-street.html","Both inside and outside the White House, there are growing calls for a weakening of China’s links to U.S. financial markets.","Good Wednesday. (Want this by email? Sign up here.)","Both inside and outside the White House, there are growing calls for a weakening of China’s links to U.S. financial markets.","2019-05-29T10:13:06+0000"
"76","‘I Think We’re Going to Make a Deal’: Trump on China Trade War",NA,"https://www.nytimes.com/video/world/europe/100000006680797/trump-china-g7.html","President Trump said on Monday that Chinese officials had called to restart trade talks with the United States. That came after China imposed new tariffs in retaliation for American levies on Friday.","President Trump said on Monday that Chinese officials had called to restart trade talks with the United States. That came after China imposed new tariffs in retaliation for American levies on Friday.","President Trump said on Monday that Chinese officials had called to restart trade talks with the United States. That came after China imposed new tariffs in retaliation for American levies on Friday.","2019-08-26T12:58:23+0000"
"77","Illuminating the Risks of Trump’s China Trade War","Ready to Put the Shade On a Costly Trade War","https://www.nytimes.com/2019/03/04/us/politics/trump-china-trade-war.html","A Delaware lighting store is growing weary of the trade war as its prices increase, putting its profitability at risk.","WILMINGTON, Del. — Tom Vari’s lighting suppliers began mailing him warnings about tariffs last fall. They varied a bit in dates and percentages, but they all said the same thing: Very soon, your prices are going up.","A Delaware lighting store is growing weary of the trade war as its prices increase, putting its profitability at risk.","2019-03-04T16:24:37+0000"
"78","How 4 Companies Struggle to Navigate Trump’s Trade Uncertainty","4 Case Studies: Ways to Adapt In a Trade War","https://www.nytimes.com/2019/08/29/us/politics/trump-economy-uncertainty.html","The president’s whiplash-inducing China moves over the past week sent companies across the United States scrambling to adjust.","Executives at Columbia Sportswear in Portland, Ore., were in a high-level meeting last Friday to wrap up their response to the Trump administration’s latest round of tariffs on Chinese imports when the president took to Twitter.","The president’s whiplash-inducing China moves over the past week sent companies across the United States scrambling to adjust.","2019-08-29T16:28:20+0000"
"79","Stock Markets Hit Pause After Wall Street’s Trade-Driven Rout","Markets Stabilize After Rout in Trade War","https://www.nytimes.com/2019/08/06/business/global-markets.html","Wall Street recovered some of its losses as Monday’s panic over an escalating trade war eased.","BEIJING — Stock markets steadied on Tuesday after a rout the day before, amid signs that Beijing would not immediately act on its veiled threat to use the value of its currency as a weapon in China’s trade war with the United States.","Wall Street recovered some of its losses as Monday’s panic over an escalating trade war eased.","2019-08-06T08:55:18+0000"
"80","Spiraling Trade Tensions Threaten Economy as Trump Pressures China","Jittery Markets Reflect Anxiety Of Trade Wars","https://www.nytimes.com/2019/08/02/business/economy/china-us-trade-threats.html","The S&P 500 recorded its worst week this year as investors were rattled by renewed trade tensions that threatened to undermine the global economy.","WASHINGTON — Global trade tensions escalated this week as the United States renewed its tariff war with China, sending major stock indexes tumbling as fears of an economic slowdown rattled investors around the world.","The S&P 500 recorded its worst week this year as investors were rattled by renewed trade tensions that threatened to undermine the global economy.","2019-08-03T00:04:01+0000"
"81","Bailout for U.S. Farmers Hurt by Trade War","Bailout for U.S. Farmers","https://www.nytimes.com/2019/05/24/opinion/letters/trump-farmers-trade.html","A reader objects to using taxpayer money to fix a problem that the president himself created.","To the Editor:","A reader objects to using taxpayer money to fix a problem that the president himself created.","2019-05-24T19:21:21+0000"
"82","Wall Street’s Slump Continues Over Trade War Concerns",NA,"https://www.nytimes.com/2019/05/08/business/global-markets.html","The sell-off has been driven by a sudden shift in tone surrounding the trade talks between the world’s two largest economies, China and the United States.","Wall Street added to a recent losing streak on Wednesday, as global markets remained pessimistic about the trade negotiations this week between the United States and China.","The sell-off has been driven by a sudden shift in tone surrounding the trade talks between the world’s two largest economies, China and the United States.","2019-05-08T08:28:00+0000"
"83","Global Stocks Uneven Amid U.S.-China Trade War Tensions","Markets in Asia Unnerved By Vows to Ramp Up Tariffs","https://www.nytimes.com/2019/08/25/business/global-markets.html","Asian markets ended lower, but shares on Wall Street and in European markets rose after President Trump and Beijing officials publicly discussed potentially restarting stalled talks.","Stocks climbed in the United States on Monday after President Trump ratcheted down the tension with China, calling President Xi Jinping a “great leader” and indicating that Chinese officials had reached out to resume talks to settle the trade dispute that has unnerved investors.","Asian markets ended lower, but shares on Wall Street and in European markets rose after President Trump and Beijing officials publicly discussed potentially restarting stalled talks.","2019-08-26T02:42:27+0000"
"84","Hong Kong, Trade War, Migrants: Your Monday Briefing",NA,"https://www.nytimes.com/2019/06/10/briefing/hong-kong-trade-war-migrants.html","Here’s what you need to know.","(Want to get this briefing by email? Here’s the sign-up.)","Here’s what you need to know.","2019-06-10T04:03:35+0000"
"85","All Pain, No Glory in Trade War",NA,"https://www.nytimes.com/2019/05/19/opinion/tariffs-china-trade-war.html","No clear winner as the world’s two largest economies duke it out.","Rather than reach a deal, the United States has raised tariffs on $200 billion worth of Chinese goods.","No clear winner as the world’s two largest economies duke it out.","2019-05-19T23:30:06+0000"
"86","Trade War, U.S. Shootings, Toni Morrison: Your Wednesday Briefing",NA,"https://www.nytimes.com/2019/08/06/briefing/trade-war-us-shootings-toni-morrison.html","Here’s what you need to know.","(Want to get this briefing by email? Here’s the sign-up.)","Here’s what you need to know.","2019-08-07T03:31:42+0000"
"87","U.S. Tourism Feels Trade War Pinch as Chinese Travel Fell First Time in 15 Years",NA,"https://www.nytimes.com/paidpost/china-daily/us-tourism-feels-trade-war-pinch-as-chinese-travel-fell-first-time-in-15-years.html","Travel is the top export to China, generating a $29.8 billion trade surplus in 2017.","Travelers from China are seeking alternative destinations amid the trade war with the United States, as travel industry insiders keep a close eye on the decline in the number of those visitors.","Travel is the top export to China, generating a $29.8 billion trade surplus in 2017.","2019-07-30T10:30:42+0000"
"88","Why Markets Aren’t Sweating the U.S.-China Trade War Much: The ‘Trump Put’","Why Trade War Isn’t Toppling Markets, Yet","https://www.nytimes.com/2019/05/08/upshot/trade-war-stock-market-china-us-tariff.html","The president has tended to back off whenever markets and the economy have looked soft.","The real question is not why the stock market is down this week. It is why it is down so little.","The president has tended to back off whenever markets and the economy have looked soft.","2019-05-08T16:51:01+0000"
"89","To Lift the Market, End the Trade War","Stocks and the Trade War","https://www.nytimes.com/2018/12/26/opinion/letters/stock-market-trade-war.html","Both the president and the treasury secretary are misdiagnosing what is causing investor unease, a reader says. ","To the Editor:","Both the president and the treasury secretary are misdiagnosing what is causing investor unease, a reader says. ","2018-12-26T18:54:53+0000"
"90","Your Next iPhone Might Be Made in Vietnam. Thank the Trade War.","An iPhone From Vietnam?","https://www.nytimes.com/2019/07/30/technology/trump-trade-war-vietnam.html","Samsung already assembles half of its handsets in the country, which got a big lift from U.S. tariffs on Chinese goods. Now Apple is homing in.","BAC NINH, Vietnam — No country on earth has benefited from President Trump’s trade fight with China more than Vietnam. ","Samsung already assembles half of its handsets in the country, which got a big lift from U.S. tariffs on Chinese goods. Now Apple is homing in.","2019-07-30T07:00:10+0000"
"91",NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA,NA,NA
"97",NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,NA,NA,NA,NA,NA
"107",NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA
"116",NA,NA,NA,NA,NA,NA,NA
"117",NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,NA,NA,NA,NA,NA
"121",NA,NA,NA,NA,NA,NA,NA
"122",NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,NA,NA,NA,NA,NA
"127",NA,NA,NA,NA,NA,NA,NA
"128",NA,NA,NA,NA,NA,NA,NA
"129",NA,NA,NA,NA,NA,NA,NA
"130",NA,NA,NA,NA,NA,NA,NA
"131",NA,NA,NA,NA,NA,NA,NA
"132",NA,NA,NA,NA,NA,NA,NA
"133",NA,NA,NA,NA,NA,NA,NA
"134",NA,NA,NA,NA,NA,NA,NA
"135",NA,NA,NA,NA,NA,NA,NA
"136",NA,NA,NA,NA,NA,NA,NA
"137",NA,NA,NA,NA,NA,NA,NA
"138",NA,NA,NA,NA,NA,NA,NA
"139",NA,NA,NA,NA,NA,NA,NA
"140",NA,NA,NA,NA,NA,NA,NA
"141",NA,NA,NA,NA,NA,NA,NA
"142",NA,NA,NA,NA,NA,NA,NA
"143",NA,NA,NA,NA,NA,NA,NA
"144",NA,NA,NA,NA,NA,NA,NA
"145",NA,NA,NA,NA,NA,NA,NA
"146",NA,NA,NA,NA,NA,NA,NA
"147",NA,NA,NA,NA,NA,NA,NA
"148",NA,NA,NA,NA,NA,NA,NA
"149",NA,NA,NA,NA,NA,NA,NA
"150",NA,NA,NA,NA,NA,NA,NA
"151",NA,NA,NA,NA,NA,NA,NA
"152",NA,NA,NA,NA,NA,NA,NA
"153",NA,NA,NA,NA,NA,NA,NA
"154",NA,NA,NA,NA,NA,NA,NA
"155",NA,NA,NA,NA,NA,NA,NA
"156",NA,NA,NA,NA,NA,NA,NA
"157",NA,NA,NA,NA,NA,NA,NA
"158",NA,NA,NA,NA,NA,NA,NA
"159",NA,NA,NA,NA,NA,NA,NA
"160",NA,NA,NA,NA,NA,NA,NA
"161",NA,NA,NA,NA,NA,NA,NA
"162",NA,NA,NA,NA,NA,NA,NA
"163",NA,NA,NA,NA,NA,NA,NA
"164",NA,NA,NA,NA,NA,NA,NA
"165",NA,NA,NA,NA,NA,NA,NA
"166",NA,NA,NA,NA,NA,NA,NA
"167",NA,NA,NA,NA,NA,NA,NA
"168",NA,NA,NA,NA,NA,NA,NA
"169",NA,NA,NA,NA,NA,NA,NA
"170",NA,NA,NA,NA,NA,NA,NA
"171",NA,NA,NA,NA,NA,NA,NA
"172",NA,NA,NA,NA,NA,NA,NA
"173",NA,NA,NA,NA,NA,NA,NA
"174",NA,NA,NA,NA,NA,NA,NA
"175",NA,NA,NA,NA,NA,NA,NA
"176",NA,NA,NA,NA,NA,NA,NA
"177",NA,NA,NA,NA,NA,NA,NA
"178",NA,NA,NA,NA,NA,NA,NA
"179",NA,NA,NA,NA,NA,NA,NA
"180",NA,NA,NA,NA,NA,NA,NA
"181",NA,NA,NA,NA,NA,NA,NA
"182",NA,NA,NA,NA,NA,NA,NA
"183",NA,NA,NA,NA,NA,NA,NA
"184",NA,NA,NA,NA,NA,NA,NA
"185",NA,NA,NA,NA,NA,NA,NA
"186",NA,NA,NA,NA,NA,NA,NA
"187",NA,NA,NA,NA,NA,NA,NA
"188",NA,NA,NA,NA,NA,NA,NA
"189",NA,NA,NA,NA,NA,NA,NA
"190",NA,NA,NA,NA,NA,NA,NA
"191",NA,NA,NA,NA,NA,NA,NA
"192",NA,NA,NA,NA,NA,NA,NA
"193",NA,NA,NA,NA,NA,NA,NA
"194",NA,NA,NA,NA,NA,NA,NA
"195",NA,NA,NA,NA,NA,NA,NA
"196",NA,NA,NA,NA,NA,NA,NA
"197",NA,NA,NA,NA,NA,NA,NA
"198",NA,NA,NA,NA,NA,NA,NA
"199",NA,NA,NA,NA,NA,NA,NA
"200",NA,NA,NA,NA,NA,NA,NA
